😀	ᎤᎧᏛ, ᎤᏤᏣᏍᏗ ᎤᎧᏛ, ᎤᏰᏍᎩ
👩🏾‍🤝‍👨🏽	ᎠᎨᏯ, ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏬᏱ, ᏗᎾᏤᎯ, ᏚᎾᏙᏯᏂᎠᎩ
👫🏾	ᎠᎨᏯ, ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏬᏱ, ᏗᎾᏤᎯ, ᏚᎾᏙᏯᏂᎠᎩ
👩🏾‍🤝‍👨🏿	ᎠᎨᏯ, ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏬᏱ, ᏗᎾᏤᎯ, ᏚᎾᏙᏯᏂᎠᎩ
👩🏿‍🤝‍👨🏻	ᎠᎨᏯ, ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎤᏬᏱ, ᏗᎾᏤᎯ, ᏚᎾᏙᏯᏂᎠᎩ
👩🏿‍🤝‍👨🏼	ᎠᎨᏯ, ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏬᏱ, ᏗᎾᏤᎯ, ᏚᎾᏙᏯᏂᎠᎩ
👩🏿‍🤝‍👨🏽	ᎠᎨᏯ, ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏬᏱ, ᏗᎾᏤᎯ, ᏚᎾᏙᏯᏂᎠᎩ
👩🏿‍🤝‍👨🏾	ᎠᎨᏯ, ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏬᏱ, ᏗᎾᏤᎯ, ᏚᎾᏙᏯᏂᎠᎩ
👫🏿	ᎠᎨᏯ, ᎠᏍᎦᏯ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏯ ᏚᎾᏙᏯᏂᎠ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏬᏱ, ᏗᎾᏤᎯ, ᏚᎾᏙᏯᏂᎠᎩ
👬	ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ, ᎠᏍᎦᏯ, ᎤᏂᏴᎢ, ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ, ᏗᏂᏝᏫ, ᏗᏂᏝᏫ ᏧᎾᏦᏟ, ᏚᎾᏙᏯᏂᎠᎩ
👬🏻	ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ, ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎠᏍᎦᏯ, ᎤᏂᏴᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ, ᏗᏂᏝᏫ, ᏗᏂᏝᏫ ᏧᎾᏦᏟ, ᏚᎾᏙᏯᏂᎠᎩ
👨🏼‍🤝‍👨🏻	ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ, ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎠᏍᎦᏯ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ, ᏗᏂᏝᏫ, ᏗᏂᏝᏫ ᏧᎾᏦᏟ, ᏚᎾᏙᏯᏂᎠᎩ
👬🏼	ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ, ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏍᎦᏯ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᏂᏴᎢ, ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ, ᏗᏂᏝᏫ, ᏗᏂᏝᏫ ᏧᎾᏦᏟ, ᏚᎾᏙᏯᏂᎠᎩ
👨🏽‍🤝‍👨🏻	ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ, ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎠᏍᎦᏯ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ, ᏗᏂᏝᏫ, ᏗᏂᏝᏫ ᏧᎾᏦᏟ, ᏚᎾᏙᏯᏂᎠᎩ
👨🏽‍🤝‍👨🏼	ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ, ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏍᎦᏯ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᏂᏴᎢ, ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ, ᏗᏂᏝᏫ, ᏗᏂᏝᏫ ᏧᎾᏦᏟ, ᏚᎾᏙᏯᏂᎠᎩ
👬🏽	ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ, ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏍᎦᏯ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏂᏴᎢ, ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ, ᏗᏂᏝᏫ, ᏗᏂᏝᏫ ᏧᎾᏦᏟ, ᏚᎾᏙᏯᏂᎠᎩ
👨🏾‍🤝‍👨🏻	ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ, ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎠᏍᎦᏯ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ, ᏗᏂᏝᏫ, ᏗᏂᏝᏫ ᏧᎾᏦᏟ, ᏚᎾᏙᏯᏂᎠᎩ
👨🏾‍🤝‍👨🏼	ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ, ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏍᎦᏯ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᏂᏴᎢ, ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ, ᏗᏂᏝᏫ, ᏗᏂᏝᏫ ᏧᎾᏦᏟ, ᏚᎾᏙᏯᏂᎠᎩ
👨🏾‍🤝‍👨🏽	ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ, ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏍᎦᏯ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏂᏴᎢ, ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ, ᏗᏂᏝᏫ, ᏗᏂᏝᏫ ᏧᎾᏦᏟ, ᏚᎾᏙᏯᏂᎠᎩ
👬🏾	ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ, ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏍᎦᏯ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏂᏴᎢ, ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ, ᏗᏂᏝᏫ, ᏗᏂᏝᏫ ᏧᎾᏦᏟ, ᏚᎾᏙᏯᏂᎠᎩ
👨🏿‍🤝‍👨🏻	ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ, ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᎠᏍᎦᏯ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏂᏴᎢ, ᎤᏗᏴᎳᏘ ᎤᏁᎦᎵ ᏄᏍᏛᎢ, ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ, ᏗᏂᏝᏫ, ᏗᏂᏝᏫ ᏧᎾᏦᏟ, ᏚᎾᏙᏯᏂᎠᎩ
👨🏿‍🤝‍👨🏼	ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ, ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎠᏍᎦᏯ, ᎠᏲᏟᎨ-ᎤᏗᏴᎳᏘ ᎤᏁᎦᎸ ᏄᎿᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏂᏴᎢ, ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ, ᏗᏂᏝᏫ, ᏗᏂᏝᏫ ᏧᎾᏦᏟ, ᏚᎾᏙᏯᏂᎠᎩ
👨🏿‍🤝‍👨🏽	ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ, ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏍᎦᏯ, ᎠᏲᏟᎨ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏂᏴᎢ, ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ, ᏗᏂᏝᏫ, ᏗᏂᏝᏫ ᏧᎾᏦᏟ, ᏚᎾᏙᏯᏂᎠᎩ
👨🏿‍🤝‍👨🏾	ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ, ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏍᎦᏯ, ᎠᏲᏟᎨ-ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏂᏴᎢ, ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ, ᏗᏂᏝᏫ, ᏗᏂᏝᏫ ᏧᎾᏦᏟ, ᏚᎾᏙᏯᏂᎠᎩ
👬🏿	ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ, ᎠᏂᏍᎦᏯ ᏚᎾᏙᏯᏂᎠᎩ: ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎠᏍᎦᏯ, ᎤᎵᏏᎩ ᎣᏁᎦᎸ ᏄᏍᏛᎢ, ᎤᏂᏴᎢ, ᏃᏈᏏ ᏗᏟᎶᏍᏗᎲᎢ, ᏗᏂᏝᏫ, ᏗᏂᏝᏫ ᏧᎾᏦᏟ, ᏚᎾᏙᏯᏂᎠᎩ
💏	ᎠᏔᏪᏙᎢᏍᏗ, ᏗᎾᏤᎯ
👩‍❤‍💋‍👨	ᎠᎨᏯ, ᎠᏍᎦᏯ, ᎠᏔᏪᏙᎢᏍᏗ, ᎠᏔᏪᏙᎢᏍᏗ: ᎠᎨᏯ, ᎠᏍᎦᏯ, ᏗᎾᏤᎯ
👨‍❤‍💋‍👨	ᎠᏍᎦᏯ, ᎠᏔᏪᏙᎢᏍᏗ, ᎠᏔᏪᏙᎢᏍᏗ: ᎠᏍᎦᏯ, ᎠᏍᎦᏯ, ᏗᎾᏤᎯ
👩‍❤‍💋‍👩	ᎠᎨᏯ, ᎠᏔᏪᏙᎢᏍᏗ, ᎠᏔᏪᏙᎢᏍᏗ: ᎠᎨᏯ, ᎠᎨᏯ, ᏗᎾᏤᎯ
💑	ᎠᏓᎨᏳᏗ, ᏗᎾᏤᎯ, ᏗᎾᏤᎯ ᏧᏂᎿᏫ
👩‍❤‍👨	ᎠᎨᏯ, ᎠᏍᎦᏯ, ᎠᏓᎨᏳᏗ, ᏗᎾᏤᎯ, ᏗᎾᏤᎯ ᏧᏂᎿᏫ, ᏗᎾᏤᎯ ᏧᏂᎿᏫ: ᎠᎨᏯ, ᎠᏍᎦᏯ
👨‍❤‍👨	ᎠᏍᎦᏯ, ᎠᏓᎨᏳᏗ, ᏗᎾᏤᎯ, ᏗᎾᏤᎯ ᏧᏂᎿᏫ, ᏗᎾᏤᎯ ᏧᏂᎿᏫ: ᎠᏍᎦᏯ, ᎠᏍᎦᏯ
👩‍❤‍👩	ᎠᎨᏯ, ᎠᏓᎨᏳᏗ, ᏗᎾᏤᎯ, ᏗᎾᏤᎯ ᏧᏂᎿᏫ, ᏗᎾᏤᎯ ᏧᏂᎿᏫ: ᎠᎨᏯ, ᎠᎨᏯ
👪️	ᏏᏓᏁᎸᎢ
👨‍👩‍👦	ᎠᎨᏯ, ᎠᏍᎦᏯ, ᎠᏧᏣ, ᏏᏓᏁᎸᎢ, ᏏᏓᏁᎸᎢ: ᎠᏍᎦᏯ, ᎠᎨᏯ, ᎠᏧᏣ
👨‍👩‍👧	ᎠᎨᏯ, ᎠᎨᏳᏣ, ᎠᏍᎦᏯ, ᏏᏓᏁᎸᎢ, ᏏᏓᏁᎸᎢ: ᎠᏍᎦᏯ, ᎠᎨᏯ, ᎠᎨᏳᏣ
👨‍👩‍👧‍👦	ᎠᎨᏯ, ᎠᎨᏳᏣ, ᎠᏍᎦᏯ, ᎠᏧᏣ, ᏏᏓᏁᎸᎢ, ᏏᏓᏁᎸᎢ: ᎠᏍᎦᏯ, ᎠᎨᏯ, ᎠᎨᏳᏣ, ᎠᏧᏣ
👨‍👩‍👦‍👦	ᎠᎨᏯ, ᎠᏍᎦᏯ, ᎠᏧᏣ, ᏏᏓᏁᎸᎢ, ᏏᏓᏁᎸᎢ: ᎠᏍᎦᏯ, ᎠᎨᏯ, ᎠᏧᏣ, ᎠᏧᏣ
👨‍👩‍👧‍👧	ᎠᎨᏯ, ᎠᎨᏳᏣ, ᎠᏍᎦᏯ, ᏏᏓᏁᎸᎢ, ᏏᏓᏁᎸᎢ: ᎠᏍᎦᏯ, ᎠᎨᏯ, ᎠᎨᏳᏣ, ᎠᎨᏳᏣ
👨‍👨‍👦	ᎠᏍᎦᏯ, ᎠᏧᏣ, ᏏᏓᏁᎸᎢ, ᏏᏓᏁᎸᎢ: ᎠᏍᎦᏯ, ᎠᏍᎦᏯ, ᎠᏧᏣ
👨‍👨‍👧	ᎠᎨᏳᏣ, ᎠᏍᎦᏯ, ᏏᏓᏁᎸᎢ, ᏏᏓᏁᎸᎢ: ᎠᏍᎦᏯ, ᎠᏍᎦᏯ, ᎠᎨᏳᏣ
👨‍👨‍👧‍👦	ᎠᎨᏳᏣ, ᎠᏍᎦᏯ, ᎠᏧᏣ, ᏏᏓᏁᎸᎢ, ᏏᏓᏁᎸᎢ: ᎠᏍᎦᏯ, ᎠᏍᎦᏯ, ᎠᎨᏳᏣ, ᎠᏧᏣ
👨‍👨‍👦‍👦	ᎠᏍᎦᏯ, ᎠᏧᏣ, ᏏᏓᏁᎸᎢ, ᏏᏓᏁᎸᎢ: ᎠᏍᎦᏯ, ᎠᏍᎦᏯ, ᎠᏧᏣ, ᎠᏧᏣ
👨‍👨‍👧‍👧	ᎠᎨᏳᏣ, ᎠᏍᎦᏯ, ᏏᏓᏁᎸᎢ, ᏏᏓᏁᎸᎢ: ᎠᏍᎦᏯ, ᎠᏍᎦᏯ, ᎠᎨᏳᏣ, ᎠᎨᏳᏣ
👩‍👩‍👦	ᎠᎨᏯ, ᎠᏧᏣ, ᏏᏓᏁᎸᎢ, ᏏᏓᏁᎸᎢ: ᎠᎨᏯ, ᎠᎨᏯ, ᎠᏧᏣ
👩‍👩‍👧	ᎠᎨᏯ, ᎠᎨᏳᏣ, ᏏᏓᏁᎸᎢ, ᏏᏓᏁᎸᎢ: ᎠᎨᏯ, ᎠᎨᏯ, ᎠᎨᏳᏣ
👩‍👩‍👧‍👦	ᎠᎨᏯ, ᎠᎨᏳᏣ, ᎠᏧᏣ, ᏏᏓᏁᎸᎢ, ᏏᏓᏁᎸᎢ: ᎠᎨᏯ, ᎠᎨᏯ, ᎠᎨᏳᏣ, ᎠᏧᏣ
👩‍👩‍👦‍👦	ᎠᎨᏯ, ᎠᏧᏣ, ᏏᏓᏁᎸᎢ, ᏏᏓᏁᎸᎢ: ᎠᎨᏯ, ᎠᎨᏯ, ᎠᏧᏣ, ᎠᏧᏣ
👩‍👩‍👧‍👧	ᎠᎨᏯ, ᎠᎨᏳᏣ, ᏏᏓᏁᎸᎢ, ᏏᏓᏁᎸᎢ: ᎠᎨᏯ, ᎠᎨᏯ, ᎠᎨᏳᏣ, ᎠᎨᏳᏣ
👨‍👦	ᎠᏍᎦᏯ, ᎠᏧᏣ, ᏏᏓᏁᎸᎢ, ᏏᏓᏁᎸᎢ: ᎠᏍᎦᏯ, ᎠᏧᏣ
👨‍👦‍👦	ᎠᏍᎦᏯ, ᎠᏧᏣ, ᏏᏓᏁᎸᎢ, ᏏᏓᏁᎸᎢ: ᎠᏍᎦᏯ, ᎠᏧᏣ, ᎠᏧᏣ
👨‍👧	ᎠᎨᏳᏣ, ᎠᏍᎦᏯ, ᏏᏓᏁᎸᎢ, ᏏᏓᏁᎸᎢ: ᎠᏍᎦᏯ, ᎠᎨᏳᏣ
👨‍👧‍👦	ᎠᎨᏳᏣ, ᎠᏍᎦᏯ, ᎠᏧᏣ, ᏏᏓᏁᎸᎢ, ᏏᏓᏁᎸᎢ: ᎠᏍᎦᏯ, ᎠᎨᏳᏣ, ᎠᏧᏣ
👨‍👧‍👧	ᎠᎨᏳᏣ, ᎠᏍᎦᏯ, ᏏᏓᏁᎸᎢ, ᏏᏓᏁᎸᎢ: ᎠᏍᎦᏯ, ᎠᎨᏳᏣ, ᎠᎨᏳᏣ
👩‍👦	ᎠᎨᏯ, ᎠᏧᏣ, ᏏᏓᏁᎸᎢ, ᏏᏓᏁᎸᎢ: ᎠᎨᏯ, ᎠᏧᏣ
👩‍👦‍👦	ᎠᎨᏯ, ᎠᏧᏣ, ᏏᏓᏁᎸᎢ, ᏏᏓᏁᎸᎢ: ᎠᎨᏯ, ᎠᏧᏣ, ᎠᏧᏣ
👩‍👧	ᎠᎨᏯ, ᎠᎨᏳᏣ, ᏏᏓᏁᎸᎢ, ᏏᏓᏁᎸᎢ: ᎠᎨᏯ, ᎠᎨᏳᏣ
👩‍👧‍👦	ᎠᎨᏯ, ᎠᎨᏳᏣ, ᎠᏧᏣ, ᏏᏓᏁᎸᎢ, ᏏᏓᏁᎸᎢ: ᎠᎨᏯ, ᎠᎨᏳᏣ, ᎠᏧᏣ
👩‍👧‍👧	ᎠᎨᏯ, ᎠᎨᏳᏣ, ᏏᏓᏁᎸᎢ, ᏏᏓᏁᎸᎢ: ᎠᎨᏯ, ᎠᎨᏳᏣ, ᎠᎨᏳᏣ
🗣️	ᎠᏍᎪᎵ, ᎤᎧᏛ, ᎤᏙᏢᏒᎢ, ᎧᏁᎦ, ᎧᏁᎩ, ᎧᏁᎩ ᎠᏍᎪᎵ
👤	ᎤᏙᏢᏒᎢ, ᎤᏲᏨᎢ, ᎤᏲᏨᎢ ᎥᎿ ᎤᏙᏢᏒᎢ
👥	ᎠᏲᎪᎢ ᎥᎿ ᎤᏙᏢᏒᎢ, ᎤᏙᏢᏒᎢ, ᎤᏲᏨᎢ
👣	ᏗᎿᏬ, ᏚᎳᏏᏅ ᏚᏙᏪᎸᎢ, ᏚᎳᏏᏅᎢ ᏚᏙᏪᎸᎢ, ᏚᏙᏪᎸᎢ
🦰	ᎩᎦᎨ ᎠᏍᎪᎵ, ᎩᎦᎨ ᎤᏍᏘᎦ, ᎩᎦᎨ ᎤᏍᏘᏰᏅᎢ
🦱	ᎤᎵᏥᏍᏆᏁᏓ, ᎤᎵᏥᏍᏆᏁᏓ ᎤᏍᏘᎦ, ᏙᏳ ᎤᎵᏥᏍᎪᏁᏓ, ᏧᏃᏓᏊᏒᎵᏍᏗ
